Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2018,Parks and Recreation,Golf Fund,Other Services and Supplies,67889,E,Other Governmental Funds,3095
2018,Parks and Recreation,Laguna Creek Maint Dist,Labor and Supply Offset,145000,E,Other Governmental Funds,3096
2018,Parks and Recreation,Land Park,Labor and Supply Offset,139000,E,Other Governmental Funds,3097
2018,Parks and Recreation,Landscaping and Lighting,Labor and Supply Offset,3548744,E,Other Governmental Funds,3098
2018,Parks and Recreation,N Natomas Lands CFD 3,Labor and Supply Offset,1737881,E,Other Governmental Funds,3099
2018,Parks and Recreation,Neighborhood Park Maint CFD,Labor and Supply Offset,1245000,E,Other Governmental Funds,3100
2018,Parks and Recreation,Neighborhood Water Quality Dist,Labor and Supply Offset,24000,E,Other Governmental Funds,3101
2018,Debt Service,2015 Refunding Revenue Bond,City Debt Service,0,E,Other Governmental Funds,3102
2018,Debt Service,2016 Lease Financing-H Street,City Debt Service,669939,E,Other Governmental Funds,3103
2018,Debt Service,Debt Service - Other City Debt,City Debt Service,102599,E,Other Governmental Funds,3104
2018,Debt Service,Debt Service-93 Series A,City Debt Service,0,E,Other Governmental Funds,3105
2018,Debt Service,Debt Service-93 Series B,City Debt Service,0,E,Other Governmental Funds,3106
2018,Debt Service,Golf Fund,City Debt Service,1167984,E,Other Governmental Funds,3107
2018,Debt Service,Kings-Arco Arena Acquisition,City Debt Service,5953976,E,Other Governmental Funds,3108
2018,Debt Service,Marina Fund,City Debt Service,1321731,E,Other Governmental Funds,3109
2018,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,1899280,E,Other Governmental Funds,3110
2018,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,422046,E,Other Governmental Funds,3111
2018,Debt Service,"2006 CIRBs (Refunding), Series E",Intergovernmental,104465,R,Other Governmental Funds,3112
2018,Debt Service,"2006 CIRBs, Series B (CRCIP)","Interest, Rents, and Concessions",87600,R,Other Governmental Funds,3113
