Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2015,Finance,Downtown Plaza Bid,"Charges, Fees, and Services",116000,R,Other Governmental Funds,802
2015,Finance,Assessment Bond Registration,"Charges, Fees, and Services",44293,R,Other Governmental Funds,807
2015,Finance,Assessment Bond Registration,Labor/Supply Offset,44293,E,Other Governmental Funds,812
2015,Finance,Old Sacramento Bid,"Charges, Fees, and Services",250000,R,Other Governmental Funds,817
2015,Finance,Franklin Blvd Bid,"Charges, Fees, and Services",66128,R,Other Governmental Funds,822
2015,Finance,Del Paso Bid,"Charges, Fees, and Services",47380,R,Other Governmental Funds,871
2015,Finance,Stockton Blvd BIA,"Charges, Fees, and Services",66488,R,Other Governmental Funds,882
2015,Finance,Oak Park PBID,"Charges, Fees, and Services",234282,R,Other Governmental Funds,886
2015,Finance,Oak Park PBID,Labor/Supply Offset,1933,E,Other Governmental Funds,890
2015,Finance,Franklin Boulevard Pbid,"Charges, Fees, and Services",141274,R,Other Governmental Funds,894
2015,City Attorney,General Fund,Labor/Supply Offset,-2818293,E,General Fund,898
2015,Finance,Franklin Boulevard Pbid,Labor/Supply Offset,8621,E,Other Governmental Funds,899
2015,City Attorney,General Fund,Other Services and Supplies,234247,E,General Fund,903
2015,Finance,Del Paso Prop & Business Imprv,"Charges, Fees, and Services",362398,R,Other Governmental Funds,904
2015,City Attorney,General Fund,Property,13750,E,General Fund,908
2015,Finance,Del Paso Prop & Business Imprv,Labor/Supply Offset,5064,E,Other Governmental Funds,910
2015,Finance,Special District Info/Rpt Sys,Labor/Supply Offset,54000,E,Other Governmental Funds,911
2015,Finance,Special District Info/Rpt Sys,Other Services and Supplies,93993,E,Other Governmental Funds,912
2015,Finance,Downtown Sacramento Mgmt Dist,"Charges, Fees, and Services",2581080,R,Other Governmental Funds,913
2015,Finance,Downtown Sacramento Mgmt Dist,Labor/Supply Offset,3976,E,Other Governmental Funds,914
2015,Finance,The River District PBID,"Charges, Fees, and Services",381480,R,Other Governmental Funds,915
2015,Finance,The River District PBID,Labor/Supply Offset,2328,E,Other Governmental Funds,916
2015,Finance,N Natomas Transp Mgmt Assoc,"Charges, Fees, and Services",1115697,R,Other Governmental Funds,917
2015,Finance,N Natomas Transp Mgmt Assoc,Labor/Supply Offset,17040,E,Other Governmental Funds,918
2015,Finance,Stockton Blvd Pbid,"Charges, Fees, and Services",323831,R,Other Governmental Funds,919
2015,Finance,Stockton Blvd Pbid,Labor/Supply Offset,1028,E,Other Governmental Funds,920
2015,Finance,Neighborhood Water Quality Dst,"Charges, Fees, and Services",50944,R,Other Governmental Funds,921
2015,Finance,Neighborhood Water Quality Dst,Labor/Supply Offset,6866,E,Other Governmental Funds,922
2015,Finance,N Nat Lndscp 99-02,"Charges, Fees, and Services",309011,R,Other Governmental Funds,923
2015,Finance,N Nat Lndscp 99-02,Labor/Supply Offset,24637,E,Other Governmental Funds,924
2015,Finance,Willowcreek Assmnt Md,"Charges, Fees, and Services",27390,R,Other Governmental Funds,925
2015,Finance,Willowcreek Assmnt Md,Labor/Supply Offset,7991,E,Other Governmental Funds,926
2015,Finance,Willowcreek Lndscpng Cfd,"Charges, Fees, and Services",95023,R,Other Governmental Funds,927
2015,Finance,Willowcreek Lndscpng Cfd,Labor/Supply Offset,1950,E,Other Governmental Funds,928
2015,Finance,N Natomas Lands Cfd 3,"Charges, Fees, and Services",1846302,R,Other Governmental Funds,929
2015,Finance,N Natomas Lands Cfd 3,Labor/Supply Offset,35153,E,Other Governmental Funds,930
2015,Finance,Village Garden N.-Mtce Dist #1,"Charges, Fees, and Services",39043,R,Other Governmental Funds,931
2015,Finance,Village Garden N.-Mtce Dist #1,Labor/Supply Offset,4853,E,Other Governmental Funds,932
2015,Finance,Citywide Lndscpng&Lghting Dist,"Charges, Fees, and Services",14719874,R,Other Governmental Funds,933
2015,Finance,Citywide Lndscpng&Lghting Dist,Labor/Supply Offset,229672,E,Other Governmental Funds,934
2015,Finance,Neighborhood Park Maint CFD,"Charges, Fees, and Services",1086831,R,Other Governmental Funds,935
2015,Finance,Neighborhood Park Maint CFD,Labor/Supply Offset,27517,E,Other Governmental Funds,936
2015,Finance,Power Inn Area Prop & Business,"Charges, Fees, and Services",498267,R,Other Governmental Funds,937
2015,Finance,Power Inn Area Prop & Business,Labor/Supply Offset,6363,E,Other Governmental Funds,938
2015,Finance,Greater Broadway PBID,"Charges, Fees, and Services",245961,R,Other Governmental Funds,939
2015,Finance,Greater Broadway PBID,Labor/Supply Offset,1343,E,Other Governmental Funds,940
2015,Finance,Midtown Sacramento PBID,"Charges, Fees, and Services",643098,R,Other Governmental Funds,941
2015,Finance,Midtown Sacramento PBID,Labor/Supply Offset,17484,E,Other Governmental Funds,942
2015,Finance,Del Paso Nuevo Landscaping CFD,"Charges, Fees, and Services",21562,R,Other Governmental Funds,943
2015,Finance,Del Paso Nuevo Landscaping CFD,Labor/Supply Offset,2195,E,Other Governmental Funds,944
2015,Finance,Sutter Business Imprvmt Area,"Charges, Fees, and Services",150000,R,Other Governmental Funds,945
2015,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,150000,E,Other Governmental Funds,946
2015,Finance,Handle BID No 2011-04,"Charges, Fees, and Services",190000,R,Other Governmental Funds,947
2015,City Attorney,General Fund,Transfers,19779,E,General Fund,967
2015,City Attorney,Interdepartmental Service Fund,Labor/Supply Offset,2598202,E,General Fund,969
2015,City Attorney,Water Fund,Labor/Supply Offset,126055,E,Enterprise Funds,973
2015,City Attorney,Wastewater Fund,Labor/Supply Offset,42018,E,Enterprise Funds,977
2015,City Attorney,Storm Drainage Fund,Labor/Supply Offset,42018,E,Enterprise Funds,980
2015,City Attorney,Cty/Cnty Office-Water Planning,Labor/Supply Offset,10000,E,Other Governmental Funds,985
