Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2026,Public Works,Parking Fund,Other Services and Supplies,297769,Expenses,Enterprise Funds,7333
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,2000,Expenses,Fund Total,7334
2026,Public Works,Parking Fund,Other Services and Supplies,174925,Expenses,Enterprise Funds,7335
2026,Community Development,General Fund,Other Services and Supplies,800,Expenses,Fund Total,7336
2026,Human Resources,Risk Mgmt Fund,Other Services and Supplies,676000,Expenses,Risk Management,7337
2026,Human Resources,Worker's Compensation Fund,Other Services and Supplies,20000,Expenses,Risk Management,7338
2026,Community Development,General Fund,Other Services and Supplies,152500,Expenses,Fund Total,7339
2026,Public Works,Recycling and Solid Waste,Other Services and Supplies,1000,Expenses,Enterprise Funds,7340
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,75000,Expenses,Enterprise Funds,7341
2026,Community Development,Measure U Fund,Other Services and Supplies,251966,Expenses,Fund Total,7342
2026,Utilities,Water Fund,Other Services and Supplies,250,Expenses,Enterprise Funds,7343
2026,Public Works,Marina Fund,Other Services and Supplies,500,Expenses,Other Governmental Funds,7344
2026,Public Works,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7345
2026,Community Development,General Fund,Other Services and Supplies,237500,Expenses,Fund Total,7346
2026,City Manager,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7347
2026,City Manager,Measure U Fund,Other Services and Supplies,73530,Expenses,Fund Total,7348
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7349
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7350
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7351
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7352
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7353
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7354
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7355
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7356
2026,Mayor/Council,General Fund,Other Services and Supplies,18628,Expenses,Fund Total,7357
2026,Mayor/Council,Measure U Fund,Other Services and Supplies,5000,Expenses,Fund Total,7358
2026,Office of the City Auditor,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7359
2026,Office of the City Auditor,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7360
2026,City Manager,General Fund,Other Services and Supplies,257206,Expenses,Fund Total,7361
2026,City Attorney,General Fund,Other Services and Supplies,10750,Expenses,Fund Total,7362
2026,City Treasurer,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7363
2026,City Clerk,General Fund,Other Services and Supplies,227402,Expenses,Fund Total,7364
2026,Finance,General Fund,Other Services and Supplies,53751,Expenses,Fund Total,7365
2026,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,220000,Expenses,Other Governmental Funds,7366
2026,Finance,Central Midtown Restaurant BID,Other Services and Supplies,242256,Expenses,Other Governmental Funds,7367
2026,Finance,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7368
2026,Finance,General Fund,Other Services and Supplies,31605,Expenses,Fund Total,7369
2026,Public Works,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7370
2026,Utilities,Water Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7371
2026,Public Works,General Fund,Other Services and Supplies,3300,Expenses,Fund Total,7372
2026,Public Works,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7373
2026,Utilities,Water Fund,Other Services and Supplies,16000,Expenses,Enterprise Funds,7374
2026,Utilities,Water Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7375
2026,Utilities,Water Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7376
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7377
2026,Utilities,Water Fund,Other Services and Supplies,1650,Expenses,Enterprise Funds,7378
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,1100,Expenses,Enterprise Funds,7379
2026,Public Works,General Fund,Other Services and Supplies,31000,Expenses,Fund Total,7380
2026,Utilities,Water Fund,Other Services and Supplies,3500,Expenses,Enterprise Funds,7381
2026,Public Works,General Fund,Other Services and Supplies,12000,Expenses,Fund Total,7382
2026,Utilities,Wastewater Fund,Other Services and Supplies,1500,Expenses,Enterprise Funds,7383
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7384
2026,Utilities,Water Fund,Other Services and Supplies,500,Expenses,Enterprise Funds,7385
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7386
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7387
2026,Utilities,Water Fund,Other Services and Supplies,500,Expenses,Enterprise Funds,7388
2026,Public Works,Parking Fund,Other Services and Supplies,10000,Expenses,Enterprise Funds,7389
2026,Utilities,Water Fund,Other Services and Supplies,100,Expenses,Enterprise Funds,7390
2026,Public Works,Parking Fund,Other Services and Supplies,600,Expenses,Enterprise Funds,7391
2026,Utilities,Water Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7392
2026,Community Development,General Fund,Other Services and Supplies,3225,Expenses,Fund Total,7393
2026,Fire,General Fund,Other Services and Supplies,6000,Expenses,Fund Total,7394
2026,Community Development,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7395
2026,Community Development,Measure U Fund,Other Services and Supplies,20004,Expenses,Fund Total,7396
2026,Community Development,General Fund,Other Services and Supplies,65300,Expenses,Fund Total,7397
2026,Public Works,Parking Fund,Other Services and Supplies,233,Expenses,Enterprise Funds,7398
2026,Community Development,General Fund,Other Services and Supplies,19700,Expenses,Fund Total,7399
2026,Community Development,Measure U Fund,Other Services and Supplies,441,Expenses,Fund Total,7400
2026,Public Works,Parking Fund,Other Services and Supplies,4241,Expenses,Enterprise Funds,7401
2026,Public Works,Parking Fund,Other Services and Supplies,4348,Expenses,Enterprise Funds,7402
2026,Community Development,Measure U Fund,Other Services and Supplies,13867,Expenses,Fund Total,7403
2026,Community Development,Measure U Fund,Other Services and Supplies,844,Expenses,Fund Total,7404
2026,Public Works,Parking Fund,Other Services and Supplies,11992,Expenses,Enterprise Funds,7405
2026,Community Development,Measure U Fund,Other Services and Supplies,700,Expenses,Fund Total,7406
2026,Public Works,Parking Fund,Other Services and Supplies,6523,Expenses,Enterprise Funds,7407
2026,Community Response,Measure U Fund,Other Services and Supplies,1500,Expenses,Fund Total,7408
2026,Public Works,Parking Fund,Other Services and Supplies,755,Expenses,Enterprise Funds,7409
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,3000,Expenses,Fund Total,7410
2026,Community Response,Measure U Fund,Other Services and Supplies,1000,Expenses,Fund Total,7411
2026,Public Works,Parking Fund,Other Services and Supplies,2989,Expenses,Enterprise Funds,7412
2026,City Clerk,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7413
2026,City Clerk,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7414
2026,Community Development,General Fund,Other Services and Supplies,12371,Expenses,Fund Total,7415
2026,Community Development,General Fund,Other Services and Supplies,5580,Expenses,Fund Total,7416
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,200,Expenses,Enterprise Funds,7417
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7418
2026,Convention and Cultural Services,Measure U Fund,Other Services and Supplies,952,Expenses,Fund Total,7419
2026,Community Development,General Fund,Other Services and Supplies,618,Expenses,Fund Total,7420
2026,Community Development,Measure U Fund,Other Services and Supplies,300,Expenses,Fund Total,7421
2026,City Clerk,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7422
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,16331,Expenses,Fund Total,7423
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,4500,Expenses,Fund Total,7424
2026,"Youth, Parks, and Community Enrichment",4th R Program,Other Services and Supplies,35100,Expenses,Other Governmental Funds,7425
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,25000,Expenses,Fund Total,7426
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,36449,Expenses,Fund Total,7427
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,50000,Expenses,Fund Total,7428
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,11074,Expenses,Fund Total,7429
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,2000,Expenses,Fund Total,7430
2026,Police,General Fund,Other Services and Supplies,65000,Expenses,Fund Total,7431
2026,Police,General Fund,Other Services and Supplies,400,Expenses,Fund Total,7432
2026,Police,General Fund,Other Services and Supplies,100,Expenses,Fund Total,7433
2026,Public Works,Fleet Management Fund,Other Services and Supplies,605310,Expenses,Internal Service Funds,7434
2026,Community Development,Measure U Fund,Other Services and Supplies,1033523,Expenses,Fund Total,7435
2026,City Attorney,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7436
2026,City Treasurer,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7437
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7438
2026,Police,General Fund,Other Services and Supplies,6000,Expenses,Fund Total,7439
2026,Fire,General Fund,Other Services and Supplies,70,Expenses,Fund Total,7440
2026,Utilities,Water Fund,Other Services and Supplies,3540,Expenses,Enterprise Funds,7441
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,600,Expenses,Enterprise Funds,7442
2026,Utilities,Water Fund,Other Services and Supplies,350,Expenses,Enterprise Funds,7443
2026,Public Works,General Fund,Other Services and Supplies,100,Expenses,Fund Total,7444
2026,Police,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7445
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7446
2026,Police,General Fund,Other Services and Supplies,4200,Expenses,Fund Total,7447
2026,Fire,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7448
2026,Utilities,Wastewater Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7449
2026,Utilities,Water Fund,Other Services and Supplies,12375,Expenses,Enterprise Funds,7450
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,4080,Expenses,Enterprise Funds,7451
2026,Utilities,Water Fund,Other Services and Supplies,25870,Expenses,Enterprise Funds,7452
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7453
2026,Utilities,Wastewater Fund,Other Services and Supplies,10970,Expenses,Enterprise Funds,7454
2026,Public Works,Marina Fund,Other Services and Supplies,1500,Expenses,Other Governmental Funds,7455
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,15000,Expenses,Fund Total,7456
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,30000,Expenses,Fund Total,7457
2026,Utilities,Water Fund,Other Services and Supplies,3000,Expenses,Enterprise Funds,7458
2026,Utilities,Water Fund,Other Services and Supplies,4000,Expenses,Enterprise Funds,7459
2026,Public Works,General Fund,Other Services and Supplies,600,Expenses,Fund Total,7460
2026,Utilities,Water Fund,Other Services and Supplies,3000,Expenses,Enterprise Funds,7461
2026,Public Works,General Fund,Other Services and Supplies,11700,Expenses,Fund Total,7462
2026,Public Works,General Fund,Other Services and Supplies,9910,Expenses,Fund Total,7463
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,150,Expenses,Enterprise Funds,7464
2026,Utilities,Water Fund,Other Services and Supplies,138510,Expenses,Enterprise Funds,7465
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7466
2026,Public Works,General Fund,Other Services and Supplies,60620,Expenses,Fund Total,7467
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7468
2026,Utilities,Water Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7469
2026,Utilities,Wastewater Fund,Other Services and Supplies,250000,Expenses,Enterprise Funds,7470
2026,Public Works,General Fund,Other Services and Supplies,700236,Expenses,Fund Total,7471
2026,Utilities,Water Fund,Other Services and Supplies,124626,Expenses,Enterprise Funds,7472
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,136000,Expenses,Enterprise Funds,7473
2026,Utilities,Water Fund,Other Services and Supplies,98476,Expenses,Enterprise Funds,7474
2026,Public Works,General Fund,Other Services and Supplies,10000,Expenses,Fund Total,7475
2026,Public Works,General Fund,Other Services and Supplies,80000,Expenses,Fund Total,7476
2026,Utilities,Water Fund,Other Services and Supplies,2500,Expenses,Enterprise Funds,7477
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7478
2026,Public Works,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7479
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,29500,Expenses,Enterprise Funds,7480
2026,Utilities,Water Fund,Other Services and Supplies,12420,Expenses,Enterprise Funds,7481
2026,Public Works,General Fund,Other Services and Supplies,30000,Expenses,Fund Total,7482
2026,Utilities,Water Fund,Other Services and Supplies,255,Expenses,Enterprise Funds,7483
2026,Utilities,Water Fund,Other Services and Supplies,15285,Expenses,Enterprise Funds,7484
2026,Public Works,Parking Fund,Other Services and Supplies,415,Expenses,Enterprise Funds,7485
2026,Public Works,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7486
2026,Utilities,Water Fund,Other Services and Supplies,3500,Expenses,Enterprise Funds,7487
2026,Public Works,General Fund,Other Services and Supplies,50000,Expenses,Fund Total,7488
2026,Community Development,General Fund,Other Services and Supplies,2045,Expenses,Fund Total,7489
2026,Community Development,General Fund,Other Services and Supplies,2320,Expenses,Fund Total,7490
2026,Community Development,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7491
2026,Community Development,Measure U Fund,Other Services and Supplies,10200,Expenses,Fund Total,7492
2026,Public Works,Parking Fund,Other Services and Supplies,25,Expenses,Enterprise Funds,7493
2026,Public Works,Parking Fund,Other Services and Supplies,485,Expenses,Enterprise Funds,7494
2026,Community Development,Measure U Fund,Other Services and Supplies,853,Expenses,Fund Total,7495
2026,Public Works,Parking Fund,Other Services and Supplies,500,Expenses,Enterprise Funds,7496
2026,Community Development,Measure U Fund,Other Services and Supplies,5123,Expenses,Fund Total,7497
2026,Public Works,Parking Fund,Other Services and Supplies,230,Expenses,Enterprise Funds,7498
2026,Public Works,Parking Fund,Other Services and Supplies,220,Expenses,Enterprise Funds,7499
2026,Public Works,Parking Fund,Other Services and Supplies,520,Expenses,Enterprise Funds,7500
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,17000,Expenses,Fund Total,7501
2026,Police,General Fund,Other Services and Supplies,100,Expenses,Fund Total,7502
2026,Police,General Fund,Other Services and Supplies,147395,Expenses,Fund Total,7503
2026,Police,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7504
2026,Citywide and Community Support,General Fund,Other Services and Supplies,70000,Expenses,Fund Total,7505
2026,City Manager,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7506
2026,City Manager,Measure U Fund,Other Services and Supplies,500,Expenses,Fund Total,7507
2026,City Attorney,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7508
2026,City Clerk,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7509
2026,Finance,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7510
2026,Finance,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7511
2026,Finance,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7512
2026,Finance,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7513
2026,City Treasurer,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7514
2026,Finance,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7515
2026,Finance,General Fund,Other Services and Supplies,2500,Expenses,Fund Total,7516
2026,Finance,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7517
2026,Information Technology,General Fund,Other Services and Supplies,62674,Expenses,Fund Total,7518
2026,Information Technology,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7519
2026,Information Technology,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7520
2026,Finance,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7521
2026,Human Resources,Risk Mgmt Fund,Other Services and Supplies,300,Expenses,Risk Management,7522
2026,Police,General Fund,Other Services and Supplies,7000,Expenses,Fund Total,7523
2026,Police,General Fund,Other Services and Supplies,350,Expenses,Fund Total,7524
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7525
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7526
2026,Police,General Fund,Other Services and Supplies,700,Expenses,Fund Total,7527
2026,Police,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7528
2026,Police,General Fund,Other Services and Supplies,240,Expenses,Fund Total,7529
2026,Police,General Fund,Other Services and Supplies,360,Expenses,Fund Total,7530
2026,Police,General Fund,Other Services and Supplies,2500,Expenses,Fund Total,7531
2026,Police,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7532
2026,Police,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7533
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7534
2026,Police,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7535
2026,Police,General Fund,Other Services and Supplies,16750,Expenses,Fund Total,7536
2026,Police,General Fund,Other Services and Supplies,8000,Expenses,Fund Total,7537
2026,Fire,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7538
2026,Fire,General Fund,Other Services and Supplies,220,Expenses,Fund Total,7539
2026,Finance,General Fund,Other Services and Supplies,59344,Expenses,Fund Total,7540
2026,Finance,General Fund,Other Services and Supplies,119,Expenses,Fund Total,7541
2026,Finance,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7542
2026,Finance,General Fund,Other Services and Supplies,20250,Expenses,Fund Total,7543
2026,Finance,Handle BID No 2011-04,Other Services and Supplies,253957,Expenses,Other Governmental Funds,7544
2026,Finance,General Fund,Other Services and Supplies,593,Expenses,Fund Total,7545
2026,Information Technology,General Fund,Other Services and Supplies,51305,Expenses,Fund Total,7546
2026,Human Resources,General Fund,Other Services and Supplies,750,Expenses,Fund Total,7547
2026,Human Resources,Risk Mgmt Fund,Other Services and Supplies,40000,Expenses,Risk Management,7548
2026,Police,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7549
2026,Police,General Fund,Other Services and Supplies,100000,Expenses,Fund Total,7550
2026,Police,General Fund,Other Services and Supplies,6000,Expenses,Fund Total,7551
2026,Police,General Fund,Other Services and Supplies,100,Expenses,Fund Total,7552
2026,Police,General Fund,Other Services and Supplies,4000,Expenses,Fund Total,7553
2026,Police,General Fund,Other Services and Supplies,60,Expenses,Fund Total,7554
2026,Police,General Fund,Other Services and Supplies,125000,Expenses,Fund Total,7555
2026,Police,General Fund,Other Services and Supplies,32911,Expenses,Fund Total,7556
2026,Police,General Fund,Other Services and Supplies,500,Expenses,Fund Total,7557
2026,Police,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7558
2026,Police,General Fund,Other Services and Supplies,15504,Expenses,Fund Total,7559
2026,Police,General Fund,Other Services and Supplies,15000,Expenses,Fund Total,7560
2026,Police,General Fund,Other Services and Supplies,6400,Expenses,Fund Total,7561
2026,Police,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7562
2026,Police,General Fund,Other Services and Supplies,28000,Expenses,Fund Total,7563
2026,Police,General Fund,Other Services and Supplies,6000,Expenses,Fund Total,7564
2026,Fire,General Fund,Other Services and Supplies,9000,Expenses,Fund Total,7565
2026,Fire,General Fund,Other Services and Supplies,68330,Expenses,Fund Total,7566
2026,Fire,General Fund,Other Services and Supplies,34056,Expenses,Fund Total,7567
2026,Fire,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7568
2026,Fire,General Fund,Other Services and Supplies,505,Expenses,Fund Total,7569
2026,Fire,General Fund,Other Services and Supplies,4903423,Expenses,Fund Total,7570
2026,Fire,Measure U Fund,Other Services and Supplies,250,Expenses,Fund Total,7571
