Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2026,Fire,General Fund,Other Services and Supplies,150,Expenses,Fund Total,7253
2026,Fire,General Fund,Other Services and Supplies,300,Expenses,Fund Total,7254
2026,Fire,General Fund,Other Services and Supplies,800,Expenses,Fund Total,7255
2026,Fire,General Fund,Other Services and Supplies,3000,Expenses,Fund Total,7256
2026,Fire,General Fund,Other Services and Supplies,675,Expenses,Fund Total,7257
2026,Fire,General Fund,Other Services and Supplies,20500,Expenses,Fund Total,7258
2026,Fire,Measure U Fund,Other Services and Supplies,30000,Expenses,Fund Total,7259
2026,Utilities,Water Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7260
2026,Fire,General Fund,Other Services and Supplies,100545,Expenses,Fund Total,7261
2026,Utilities,Wastewater Fund,Other Services and Supplies,1250,Expenses,Enterprise Funds,7262
2026,Utilities,Water Fund,Other Services and Supplies,82100,Expenses,Enterprise Funds,7263
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,40000,Expenses,Enterprise Funds,7264
2026,Utilities,Storm Drainage Fund,Other Services and Supplies,90000,Expenses,Enterprise Funds,7265
2026,Utilities,Water Fund,Other Services and Supplies,170000,Expenses,Enterprise Funds,7266
2026,Utilities,Wastewater Fund,Other Services and Supplies,40000,Expenses,Enterprise Funds,7267
2026,Utilities,Wastewater Fund,Other Services and Supplies,16500,Expenses,Enterprise Funds,7268
2026,Convention and Cultural Services,Measure U Fund,Other Services and Supplies,2895,Expenses,Fund Total,7269
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,1000,Expenses,Fund Total,7270
2026,Public Works,General Fund,Other Services and Supplies,10000,Expenses,Fund Total,7271
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,2000,Expenses,Enterprise Funds,7272
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,2324,Expenses,Fund Total,7273
2026,"Youth, Parks, and Community Enrichment",4th R Program,Other Services and Supplies,1200,Expenses,Other Governmental Funds,7274
2026,Public Works,General Fund,Other Services and Supplies,50,Expenses,Fund Total,7275
2026,Convention and Cultural Services,Old Sac Market,Other Services and Supplies,7000,Expenses,Other Governmental Funds,7276
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,12200,Expenses,Enterprise Funds,7277
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,15000,Expenses,Fund Total,7278
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,5000,Expenses,Fund Total,7279
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,100,Expenses,Enterprise Funds,7280
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7281
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,103000,Expenses,Fund Total,7282
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,15000,Expenses,Fund Total,7283
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,5000,Expenses,Fund Total,7284
2026,Public Works,Parking Fund,Other Services and Supplies,5,Expenses,Enterprise Funds,7285
2026,Community Development,Measure U Fund,Other Services and Supplies,20000,Expenses,Fund Total,7286
2026,Community Development,General Fund,Other Services and Supplies,5000,Expenses,Fund Total,7287
2026,Community Development,General Fund,Other Services and Supplies,1500,Expenses,Fund Total,7288
2026,Finance,General Fund,Other Services and Supplies,4000,Expenses,Fund Total,7289
2026,Police,General Fund,Other Services and Supplies,32630,Expenses,Fund Total,7290
2026,Police,General Fund,Other Services and Supplies,50000,Expenses,Fund Total,7291
2026,Finance,General Fund,Other Services and Supplies,1000,Expenses,Fund Total,7292
2026,Information Technology,General Fund,Other Services and Supplies,2000,Expenses,Fund Total,7293
2026,Police,General Fund,Other Services and Supplies,33650,Expenses,Fund Total,7294
2026,Fire,Measure U Fund,Other Services and Supplies,1551,Expenses,Fund Total,7295
2026,Utilities,Cty/Cnty Office-Water Planning,Other Services and Supplies,1500,Expenses,Other Governmental Funds,7296
2026,Utilities,Water Fund,Other Services and Supplies,10000,Expenses,Enterprise Funds,7297
2026,"Youth, Parks, and Community Enrichment",4th R Program,Other Services and Supplies,10000,Expenses,Other Governmental Funds,7298
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,35000,Expenses,Enterprise Funds,7299
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,1000,Expenses,Fund Total,7300
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,850000,Expenses,Enterprise Funds,7301
2026,Public Works,Recycling and Solid Waste,Other Services and Supplies,260000,Expenses,Enterprise Funds,7302
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,18000,Expenses,Enterprise Funds,7303
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,20200,Expenses,Enterprise Funds,7304
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,600,Expenses,Fund Total,7305
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,25000,Expenses,Fund Total,7306
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,650138,Expenses,Enterprise Funds,7307
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,45000,Expenses,Fund Total,7308
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,125000,Expenses,Fund Total,7309
2026,Public Works,General Fund,Other Services and Supplies,50000,Expenses,Fund Total,7310
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,2000,Expenses,Fund Total,7311
2026,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7312
2026,"Youth, Parks, and Community Enrichment",Measure U Fund,Other Services and Supplies,10000,Expenses,Fund Total,7313
2026,Convention and Cultural Services,Measure U Fund,Other Services and Supplies,5000,Expenses,Fund Total,7314
2026,Public Works,General Fund,Other Services and Supplies,25000,Expenses,Fund Total,7315
2026,Public Works,General Fund,Other Services and Supplies,200,Expenses,Fund Total,7316
2026,Utilities,Water Fund,Other Services and Supplies,360,Expenses,Enterprise Funds,7317
2026,Public Works,Marina Fund,Other Services and Supplies,76500,Expenses,Other Governmental Funds,7318
2026,Utilities,Water Fund,Other Services and Supplies,1000,Expenses,Enterprise Funds,7319
2026,Public Works,General Fund,Other Services and Supplies,200,Expenses,Fund Total,7320
2026,Public Works,General Fund,Other Services and Supplies,5876,Expenses,Fund Total,7321
2026,Utilities,Water Fund,Other Services and Supplies,5000,Expenses,Enterprise Funds,7322
2026,Public Works,Parking Fund,Other Services and Supplies,58668,Expenses,Enterprise Funds,7323
2026,Utilities,Water Fund,Other Services and Supplies,455000,Expenses,Enterprise Funds,7324
2026,Citywide and Community Support,General Fund,Other Services and Supplies,1842500,Expenses,Fund Total,7325
2026,Public Works,Parking Fund,Other Services and Supplies,10200,Expenses,Enterprise Funds,7326
2026,Community Development,General Fund,Other Services and Supplies,900,Expenses,Fund Total,7327
2026,Public Works,Parking Fund,Other Services and Supplies,196554,Expenses,Enterprise Funds,7328
2026,Community Development,Measure U Fund,Other Services and Supplies,202,Expenses,Fund Total,7329
2026,Public Works,Parking Fund,Other Services and Supplies,366000,Expenses,Enterprise Funds,7330
2026,Public Works,Parking Fund,Other Services and Supplies,204300,Expenses,Enterprise Funds,7331
2026,Public Works,Parking Fund,Other Services and Supplies,179486,Expenses,Enterprise Funds,7332
