Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2017,Debt Service,Debt Service - Other City Debt,Intergovernmental,89908,R,Other Governmental Funds,2001
2017,Citywide and Community Support,4th R Program,Employee Services,41731,E,Other Governmental Funds,2002
2017,Citywide and Community Support,Art In Public Places Projects,Other Services and Supplies,271000,E,Other Governmental Funds,2003
2017,Citywide and Community Support,Crocker Master Tr-General,Other Services and Supplies,210000,E,Other Governmental Funds,2004
2017,Citywide and Community Support,Cty/Cnty Office-Water Planning,City Property,4000,E,Other Governmental Funds,2005
2017,Citywide and Community Support,Cty/Cnty Office-Water Planning,Employee Services,513037,E,Other Governmental Funds,2006
2017,Citywide and Community Support,Cty/Cnty Office-Water Planning,Operating Transfers,-272873,E,Other Governmental Funds,2007
2017,Citywide and Community Support,Cty/Cnty Office-Water Planning,Other Services and Supplies,812601,E,Other Governmental Funds,2008
2017,Citywide and Community Support,Del Paso PBID,Other Services and Supplies,35000,E,Other Governmental Funds,2009
2017,Citywide and Community Support,Del Paso Prop & Business Imprv,Other Services and Supplies,478465,E,Other Governmental Funds,2010
2017,Citywide and Community Support,Downtown Management District,Other Services and Supplies,2715203,E,Other Governmental Funds,2011
2017,Citywide and Community Support,Downtown Plaza PBID,Other Services and Supplies,33205,E,Other Governmental Funds,2012
2017,Citywide and Community Support,Franklin Blvd PBID,Other Services and Supplies,58578,E,Other Governmental Funds,2013
2017,Citywide and Community Support,Franklin Boulevard PBID,Other Services and Supplies,138362,E,Other Governmental Funds,2014
2017,Citywide and Community Support,Gas Tax 2106,Other Services and Supplies,140000,E,Other Governmental Funds,2015
2017,Citywide and Community Support,Greater Broadway PBID,Other Services and Supplies,276095,E,Other Governmental Funds,2016
2017,Citywide and Community Support,Habitat Management Element,Operating Transfers,-207501,E,Other Governmental Funds,2017
2017,Citywide and Community Support,Habitat Management Element,Other Services and Supplies,652504,E,Other Governmental Funds,2018
2017,Citywide and Community Support,Innovation and Growth Fund,Other Services and Supplies,200000,E,Other Governmental Funds,2019
2017,Debt Service,Kings-Arco Arena Acquisition,"Interest, Rents, and Concessions",5758070,R,Other Governmental Funds,2020
2017,Citywide and Community Support,Interdepartmental Service Fund,Labor and Supply Offset,1203793,E,Other Governmental Funds,2021
2017,Citywide and Community Support,Library Services Parcel Tax,Other Services and Supplies,7410344,E,Other Governmental Funds,2022
2017,Citywide and Community Support,Mack Road PBID,Other Services and Supplies,648374,E,Other Governmental Funds,2023
