Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2017,Citywide and Community Support,Measure U Fund,City Property,345400,E,Other Governmental Funds,2024
2017,Citywide and Community Support,Measure U Fund,Employee Services,40225719,E,Other Governmental Funds,2025
2017,Citywide and Community Support,Measure U Fund,Operating Transfers,340000,E,Other Governmental Funds,2026
2017,Citywide and Community Support,Measure U Fund,Other Services and Supplies,3690030,E,Other Governmental Funds,2027
2017,Citywide and Community Support,Midtown Sacramento PBID,Other Services and Supplies,680467,E,Other Governmental Funds,2028
2017,Citywide and Community Support,N Natomas Transp Mgmt Assoc,Other Services and Supplies,1200000,E,Other Governmental Funds,2029
2017,Citywide and Community Support,Oak Park PBID,Other Services and Supplies,238327,E,Other Governmental Funds,2030
2017,Citywide and Community Support,Old Sacramento PBID,Other Services and Supplies,166000,E,Other Governmental Funds,2031
2017,Citywide and Community Support,Power Inn Area Prop & Business,Other Services and Supplies,526028,E,Other Governmental Funds,2032
2017,Citywide and Community Support,Sac Tourism Marketing District,Other Services and Supplies,5076400,E,Other Governmental Funds,2033
2017,Citywide and Community Support,START Fund,Employee Services,8612,E,Other Governmental Funds,2034
2017,Citywide and Community Support,Stockton Blvd BIA,Other Services and Supplies,61838,E,Other Governmental Funds,2035
2017,Citywide and Community Support,Stockton Blvd PBID,Other Services and Supplies,320779,E,Other Governmental Funds,2036
2017,Citywide and Community Support,The River District PBID,Other Services and Supplies,469415,E,Other Governmental Funds,2037
2017,Citywide and Community Support,Risk Mgmt Fund,Employee Services,16294,E,Risk Management,2038
2017,Citywide and Community Support,Worker's Compensation Fund,Employee Services,18040,E,Risk Management,2039
2017,Citywide and Community Support,Community Center Fund,"Interest, Rents, and Concessions",200000,R,Enterprise Funds,2040
2017,Citywide and Community Support,Parking Fund,"Interest, Rents, and Concessions",600000,R,Enterprise Funds,2041
2017,Citywide and Community Support,Storm Drainage Fund,"Interest, Rents, and Concessions",422000,R,Enterprise Funds,2042
2017,Citywide and Community Support,Wastewater Fund,"Interest, Rents, and Concessions",392000,R,Enterprise Funds,2043
2017,Citywide and Community Support,Water Fund,"Interest, Rents, and Concessions",400000,R,Enterprise Funds,2044
2017,Citywide and Community Support,General Fund,"Charges, Fees, and Services",6669188,R,General Fund,2045
2017,Citywide and Community Support,General Fund,Contributions from Other Funds,29498434,R,General Fund,2046
2017,Citywide and Community Support,General Fund,"Interest, Rents, and Concessions",425000,R,General Fund,2047
2017,Citywide and Community Support,General Fund,Intergovernmental,2720000,R,General Fund,2048
2017,Citywide and Community Support,General Fund,Licenses and Permits,1261376,R,General Fund,2049
2017,Citywide and Community Support,General Fund,Taxes,302952846,R,General Fund,2050
2017,Citywide and Community Support,Cty/Cnty Office-Water Planning,Intergovernmental,697067,R,Other Governmental Funds,2051
2017,Citywide and Community Support,Gas Tax 2106,"Interest, Rents, and Concessions",150000,R,Other Governmental Funds,2052
2017,Finance,Stockton Blvd PBID,Labor and Supply Offset,1315,E,Other Governmental Funds,2054
2017,Convention and Cultural Services,Community Center Fund,"Interest, Rents, and Concessions",917000,R,Enterprise Funds,2055
2017,Economic Development,General Fund,City Property,2000,E,General Fund,2056
2017,Economic Development,General Fund,Employee Services,1842628,E,General Fund,2057
2017,Economic Development,General Fund,Labor and Supply Offset,2856,E,General Fund,2058
2017,Economic Development,General Fund,Other Services and Supplies,702894,E,General Fund,2059
2017,Economic Development,General Fund,"Charges, Fees, and Services",158208,R,General Fund,2060
2017,Economic Development,Innovation and Growth Fund,Intergovernmental,0,R,Other Governmental Funds,2061
2017,Finance,Parking Fund,Labor and Supply Offset,93333,E,Enterprise Funds,2062
2017,Convention and Cultural Services,Community Center Fund,Intergovernmental,70000,R,Enterprise Funds,2063
2017,Finance,General Fund,City Property,44400,E,General Fund,2064
2017,Finance,Subdiv Lndscpng Maint Dist,Labor and Supply Offset,23451,E,Other Governmental Funds,2065
2017,Convention and Cultural Services,Community Center Fund,Taxes,21818150,R,Enterprise Funds,2066
2017,Finance,General Fund,Employee Services,8819617,E,General Fund,2067
2017,Finance,Sutter Business Imprvmt Area,Other Services and Supplies,150000,E,Other Governmental Funds,2068
2017,Convention and Cultural Services,General Fund,"Charges, Fees, and Services",255500,R,General Fund,2069
2017,Finance,General Fund,Labor and Supply Offset,-4477269,E,General Fund,2070
2017,Finance,The River District PBID,Labor and Supply Offset,3259,E,Other Governmental Funds,2071
2017,Convention and Cultural Services,General Fund,"Interest, Rents, and Concessions",180000,R,General Fund,2072
2017,Finance,General Fund,Other Services and Supplies,1419264,E,General Fund,2073
2017,Finance,Township 9 CFD No. 2012-06,Labor and Supply Offset,1208,E,Other Governmental Funds,2074
2017,Convention and Cultural Services,General Fund,Intergovernmental,428650,R,General Fund,2075
2017,Finance,General Fund,Transfers,121242,E,General Fund,2076
2017,Finance,Village Garden N.-Mtce Dist #1,Labor and Supply Offset,9853,E,Other Governmental Funds,2077
2017,Convention and Cultural Services,General Fund,Licenses and Permits,5500,R,General Fund,2078
2017,Convention and Cultural Services,Crocker Master Tr-General,"Charges, Fees, and Services",210000,R,Other Governmental Funds,2079
2017,Convention and Cultural Services,Fairytale Town Fund,"Charges, Fees, and Services",50000,R,Other Governmental Funds,2080
2017,Convention and Cultural Services,H Street Theater Fund,Intergovernmental,30000,R,Other Governmental Funds,2081
2017,Convention and Cultural Services,H Street Theater Fund,Miscellaneous Revenue,15000,R,Other Governmental Funds,2082
2017,Convention and Cultural Services,Marcy Friedman ESC APP Fund,Miscellaneous Revenue,0,R,Other Governmental Funds,2083
2017,Convention and Cultural Services,Old Sac Market,"Charges, Fees, and Services",73000,R,Other Governmental Funds,2084
2017,Convention and Cultural Services,Zoo,"Charges, Fees, and Services",50000,R,Other Governmental Funds,2085
2017,Debt Service,Community Center Fund,City Debt Service,10190953,E,Enterprise Funds,2086
2017,Debt Service,Parking Fund,City Debt Service,7076945,E,Enterprise Funds,2087
2017,Debt Service,Recycling and Solid Waste,City Debt Service,3394936,E,Enterprise Funds,2088
2017,Debt Service,Storm Drainage Fund,City Debt Service,3657909,E,Enterprise Funds,2089
2017,Debt Service,Wastewater Fund,City Debt Service,3032831,E,Enterprise Funds,2090
2017,Debt Service,Wastewater Revenue Bonds,City Debt Service,0,E,Enterprise Funds,2091
2017,Debt Service,Water Fund,City Debt Service,26450117,E,Enterprise Funds,2092
2017,Debt Service,Water Revenue Bonds,City Debt Service,0,E,Enterprise Funds,2093
2017,Debt Service,General Fund,City Debt Service,27267392,E,General Fund,2094
2017,Debt Service,Fleet Management Fund,City Debt Service,95018,E,Internal Service Funds,2095
2017,Debt Service,2006 CIRBs (Refunding) Ser E,City Debt Service,104466,E,Other Governmental Funds,2096
2017,Debt Service,2006 CIRBs Ser B (CRCIP),City Debt Service,1519022,E,Other Governmental Funds,2097
2017,Debt Service,2006 CIRBs Ser D,City Debt Service,0,E,Other Governmental Funds,2098
2017,Debt Service,2014 ESC Lease Revenue Bonds,City Debt Service,9371841,E,Other Governmental Funds,2099
2017,Debt Service,2015 Refunding RevBonds,City Debt Service,0,E,Other Governmental Funds,2100
2017,Debt Service,Debt Service - Other City Debt,City Debt Service,102599,E,Other Governmental Funds,2101
2017,Debt Service,Debt Service-93 Series A,City Debt Service,0,E,Other Governmental Funds,2102
2017,Debt Service,Debt Service-93 Series B,City Debt Service,0,E,Other Governmental Funds,2103
2017,Debt Service,Debt Service-CFD#2 Lease,City Debt Service,0,E,Other Governmental Funds,2104
2017,Debt Service,Golf Fund,City Debt Service,1167891,E,Other Governmental Funds,2105
2017,Debt Service,Kings-Arco Arena Acquisition,City Debt Service,5758070,E,Other Governmental Funds,2106
2017,Debt Service,Landscaping and Lighting,City Debt Service,580538,E,Other Governmental Funds,2107
2017,Debt Service,Marina Fund,City Debt Service,1321731,E,Other Governmental Funds,2108
2017,Debt Service,NNFP Public Facilities Fee Fund,City Debt Service,1311957,E,Other Governmental Funds,2109
2017,Debt Service,NNFP Reg Park Land Acquisition,City Debt Service,1000696,E,Other Governmental Funds,2110
2017,Debt Service,Parking Fund,Miscellaneous Revenue,0,R,Enterprise Funds,2111
2017,Debt Service,2002 Cap Inpr Bds Debt Service,Intergovernmental,0,R,Other Governmental Funds,2112
2017,Debt Service,2005 Refunding Revenue Bonds,Intergovernmental,0,R,Other Governmental Funds,2113
2017,Debt Service,2006 CIRBs (Refunding) Ser E,Intergovernmental,104466,R,Other Governmental Funds,2114
2017,Debt Service,2006 CIRBs Ser A (CRCIP),Intergovernmental,0,R,Other Governmental Funds,2115
2017,Citywide and Community Support,Gas Tax 2106,Intergovernmental,10000000,R,Other Governmental Funds,2116
2017,Debt Service,2006 CIRBs Ser A (CRCIP),Miscellaneous Revenue,0,R,Other Governmental Funds,2117
2017,Debt Service,2006 CIRBs Ser B (CRCIP),"Interest, Rents, and Concessions",87600,R,Other Governmental Funds,2118
2017,Debt Service,2006 CIRBs Ser B (CRCIP),Intergovernmental,1119422,R,Other Governmental Funds,2119
2017,Debt Service,2014 ESC Lease Revenue Bonds,"Interest, Rents, and Concessions",4700000,R,Other Governmental Funds,2120
2017,Debt Service,2014 ESC Lease Revenue Bonds,Miscellaneous Revenue,0,R,Other Governmental Funds,2121
2017,Debt Service,Debt Service - Other City Debt,"Interest, Rents, and Concessions",12691,R,Other Governmental Funds,2122
2017,Finance,12th Street Maint Benefit Area,Labor and Supply Offset,1934,E,Other Governmental Funds,2123
2017,Finance,Cty/Cnty Office-Water Planning,Labor and Supply Offset,39000,E,Other Governmental Funds,2124
2017,Finance,Del Paso Nuevo Landscaping CFD,Labor and Supply Offset,2089,E,Other Governmental Funds,2125
2017,Finance,Del Paso Prop & Business Imprv,Labor and Supply Offset,1331,E,Other Governmental Funds,2126
2017,Finance,Downtown Impact Fee Fund,Other Services and Supplies,50000,E,Other Governmental Funds,2127
2017,Finance,Downtown Management District,Labor and Supply Offset,1440,E,Other Governmental Funds,2128
2017,Finance,Franklin Boulevard PBID,Labor and Supply Offset,2912,E,Other Governmental Funds,2129
2017,Finance,Greater Broadway PBID,Labor and Supply Offset,1372,E,Other Governmental Funds,2130
2017,Finance,Handle BID No 2011-04,Labor and Supply Offset,2093,E,Other Governmental Funds,2131
2017,Finance,Handle BID No 2011-04,Other Services and Supplies,172907,E,Other Governmental Funds,2132
2017,Finance,Interdepartmental Service Fund,Labor and Supply Offset,2827077,E,Other Governmental Funds,2133
2017,Finance,Jacinto Creek,Other Services and Supplies,15000,E,Other Governmental Funds,2134
2017,Finance,Laguna Creek Maint Dist,Labor and Supply Offset,9910,E,Other Governmental Funds,2135
2017,Finance,Landscaping and Lighting,Labor and Supply Offset,233049,E,Other Governmental Funds,2136
2017,Finance,Mack Road PBID,Labor and Supply Offset,1247,E,Other Governmental Funds,2137
2017,Finance,Willowcreek Assmnt Md,Labor and Supply Offset,7432,E,Other Governmental Funds,2138
2017,Finance,Midtown Sacramento PBID,Labor and Supply Offset,2912,E,Other Governmental Funds,2139
2017,Citywide and Community Support,Habitat Management Element,Intergovernmental,415003,R,Other Governmental Funds,2141
2017,Finance,N Nat Lndscp 99-02,Labor and Supply Offset,13596,E,Other Governmental Funds,2145
2017,Citywide and Community Support,Library Services Parcel Tax,"Charges, Fees, and Services",7410344,R,Other Governmental Funds,2147
2017,Finance,Willowcreek Lndscpng CFD,Labor and Supply Offset,2327,E,Other Governmental Funds,2148
2017,Finance,N Natomas Lands CFD 3,Labor and Supply Offset,22739,E,Other Governmental Funds,2149
2017,Citywide and Community Support,Major Street Construction Fund,"Interest, Rents, and Concessions",137000,R,Other Governmental Funds,2152
2017,Finance,General Fund,"Charges, Fees, and Services",92293,R,General Fund,2153
2017,Finance,N Natomas Transp Mgmt Assoc,Labor and Supply Offset,19698,E,Other Governmental Funds,2154
2017,Citywide and Community Support,Marina Fund,"Interest, Rents, and Concessions",18000,R,Other Governmental Funds,2157
2017,Finance,General Fund,"Fines, Forfeitures, and  Penalties",18000,R,General Fund,2158
2017,Finance,Natomas Central CFD 2006-02,Labor and Supply Offset,11735,E,Other Governmental Funds,2159
2017,Finance,Neighborhood Lighting Dist,Labor and Supply Offset,12987,E,Other Governmental Funds,2204
2017,Finance,Neighborhood Park Maint CFD,Labor and Supply Offset,16759,E,Other Governmental Funds,2205
2017,Finance,Neighborhood Water Quality Dist,Labor and Supply Offset,9588,E,Other Governmental Funds,2206
2017,Finance,NNFP Drainage Fee Fund,Other Services and Supplies,738993,E,Other Governmental Funds,2207
2017,Finance,General Fund,Intergovernmental,86551,R,General Fund,2208
2017,Finance,NNFP Public Facilities Fee Fund,Other Services and Supplies,250000,E,Other Governmental Funds,2209
2017,Finance,Northside Subdiv Maint Dist,Labor and Supply Offset,4617,E,Other Governmental Funds,2210
2017,Finance,General Fund,Licenses and Permits,386000,R,General Fund,2211
2017,Finance,NW Land Park CFD 2013-02,Labor and Supply Offset,4119,E,Other Governmental Funds,2212
2017,Finance,General Fund,Miscellaneous Revenue,124000,R,General Fund,2213
2017,Finance,Oak Park PBID,Labor and Supply Offset,2017,E,Other Governmental Funds,2214
2017,Finance,General Fund,Taxes,0,R,General Fund,2215
2017,Finance,Old Sacto Maint Dist,Labor and Supply Offset,2129,E,Other Governmental Funds,2216
2017,Finance,12th Street Maint Benefit Area,"Charges, Fees, and Services",15137,R,Other Governmental Funds,2217
2017,Citywide and Community Support,Measure U Fund,Taxes,43731940,R,Other Governmental Funds,2218
2017,Finance,Power Inn Area Prop & Business,Labor and Supply Offset,2487,E,Other Governmental Funds,2219
2017,Finance,Del Paso Nuevo Landscaping CFD,"Charges, Fees, and Services",20165,R,Other Governmental Funds,2220
2017,Citywide and Community Support,New Measure A Construction,"Interest, Rents, and Concessions",40000,R,Other Governmental Funds,2221
2017,Finance,Power Inn Rd Md 2003-01,Labor and Supply Offset,3114,E,Other Governmental Funds,2222
2017,Finance,Del Paso PBID,"Charges, Fees, and Services",33000,R,Other Governmental Funds,2223
2017,Citywide and Community Support,New Measure A Construction,Taxes,2476000,R,Other Governmental Funds,2224
2017,Finance,Railyards Maint CFD No 2014-04,Labor and Supply Offset,1504,E,Other Governmental Funds,2225
2017,Finance,Del Paso Prop & Business Imprv,"Charges, Fees, and Services",362398,R,Other Governmental Funds,2226
2017,Finance,Downtown Management District,"Charges, Fees, and Services",2716643,R,Other Governmental Funds,2228
2017,Finance,River District Impact Fee Fund,Other Services and Supplies,50000,E,Other Governmental Funds,2229
2017,Finance,Downtown Plaza PBID,"Charges, Fees, and Services",33205,R,Other Governmental Funds,2230
2017,Finance,Sac Tourism Marketing District,Labor and Supply Offset,103600,E,Other Governmental Funds,2232
2017,Finance,Franklin Blvd PBID,"Charges, Fees, and Services",58578,R,Other Governmental Funds,2233
2017,Citywide and Community Support,New Measure A Maintenance,"Interest, Rents, and Concessions",20000,R,Other Governmental Funds,2234
2017,City Attorney,Storm Drainage Fund,Labor and Supply Offset,42018,E,Enterprise Funds,2235
2017,Finance,Special District Info/Rpt Sys,Labor and Supply Offset,54000,E,Other Governmental Funds,2236
2017,Finance,Franklin Boulevard PBID,"Charges, Fees, and Services",141274,R,Other Governmental Funds,2237
2017,Citywide and Community Support,New Measure A Maintenance,Taxes,10559000,R,Other Governmental Funds,2238
2017,City Attorney,Wastewater Fund,Labor and Supply Offset,42018,E,Enterprise Funds,2239
2017,Finance,Special District Info/Rpt Sys,Other Services and Supplies,93993,E,Other Governmental Funds,2240
2017,Finance,Greater Broadway PBID,"Charges, Fees, and Services",277467,R,Other Governmental Funds,2241
2017,Citywide and Community Support,Quimby Act Fund,"Charges, Fees, and Services",100000,R,Other Governmental Funds,2243
2017,City Attorney,Water Fund,Labor and Supply Offset,126055,E,Enterprise Funds,2244
2017,City Attorney,General Fund,City Property,13750,E,General Fund,2245
2017,City Attorney,General Fund,Employee Services,7598000,E,General Fund,2246
2017,City Attorney,General Fund,Labor and Supply Offset,-2536039,E,General Fund,2247
2017,City Attorney,General Fund,Other Services and Supplies,311505,E,General Fund,2248
2017,City Attorney,General Fund,Transfers,0,E,General Fund,2249
2017,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,10000,E,Other Governmental Funds,2250
2017,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2315948,E,Other Governmental Funds,2251
2017,City Attorney,General Fund,Intergovernmental,52000,R,General Fund,2252
2017,City Clerk,General Fund,City Property,6000,E,General Fund,2253
2017,City Clerk,General Fund,Employee Services,1671050,E,General Fund,2254
2017,City Clerk,General Fund,Labor and Supply Offset,-697426,E,General Fund,2255
2017,City Clerk,General Fund,Other Services and Supplies,307828,E,General Fund,2256
2017,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,698426,E,Other Governmental Funds,2257
2017,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,General Fund,2258
2017,City Clerk,General Fund,Intergovernmental,50000,R,General Fund,2259
2017,City Manager,General Fund,City Property,16826,E,General Fund,2260
2017,City Manager,General Fund,Employee Services,2889409,E,General Fund,2261
2017,City Manager,General Fund,Labor and Supply Offset,-1164784,E,General Fund,2262
2017,City Manager,General Fund,Other Services and Supplies,674542,E,General Fund,2263
2017,City Manager,Interdepartmental Service Fund,Labor and Supply Offset,1168840,E,Other Governmental Funds,2264
2017,City Treasurer,General Fund,City Property,2000,E,General Fund,2265
2017,City Treasurer,General Fund,Employee Services,2004023,E,General Fund,2266
2017,City Treasurer,General Fund,Labor and Supply Offset,-201081,E,General Fund,2267
2017,City Treasurer,General Fund,Other Services and Supplies,292100,E,General Fund,2268
2017,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,201431,E,Other Governmental Funds,2269
2017,City Treasurer,General Fund,Contributions from Other Funds,2350958,R,General Fund,2270
2017,City Treasurer,General Fund,Intergovernmental,1255000,R,General Fund,2271
2017,Citywide and Community Support,Community Center Fund,Employee Services,149261,E,Enterprise Funds,2272
2017,Citywide and Community Support,Community Center Fund,Other Services and Supplies,1369684,E,Enterprise Funds,2273
2017,Citywide and Community Support,Parking Fund,Employee Services,167168,E,Enterprise Funds,2274
2017,Citywide and Community Support,Parking Fund,Other Services and Supplies,100000,E,Enterprise Funds,2275
2017,Citywide and Community Support,Recycling and Solid Waste,Employee Services,1618443,E,Enterprise Funds,2276
2017,Citywide and Community Support,Storm Drainage Fund,Employee Services,572103,E,Enterprise Funds,2277
2017,Citywide and Community Support,Wastewater Fund,Employee Services,423920,E,Enterprise Funds,2278
2017,Citywide and Community Support,Water Fund,Employee Services,1193808,E,Enterprise Funds,2279
2017,Citywide and Community Support,General Fund,City Property,300000,E,General Fund,2280
2017,Citywide and Community Support,General Fund,Contingency,1000000,E,General Fund,2281
2017,Citywide and Community Support,General Fund,Employee Services,19892560,E,General Fund,2282
2017,Citywide and Community Support,General Fund,Labor and Supply Offset,-1191683,E,General Fund,2283
2017,Citywide and Community Support,General Fund,Other Services and Supplies,35168665,E,General Fund,2284
2017,Citywide and Community Support,Fleet Management Fund,Employee Services,460847,E,Internal Service Funds,2285
2017,Citywide and Community Support,Sac Tourism Marketing District,"Charges, Fees, and Services",5180000,R,Other Governmental Funds,2286
2017,Citywide and Community Support,Worker's Compensation Fund,"Interest, Rents, and Concessions",500000,R,Risk Management,2288
2017,Finance,Handle BID No 2011-04,"Charges, Fees, and Services",175000,R,Other Governmental Funds,2289
2017,Finance,Laguna Creek Maint Dist,"Charges, Fees, and Services",178217,R,Other Governmental Funds,2290
2017,Finance,Landscaping and Lighting,"Charges, Fees, and Services",15108600,R,Other Governmental Funds,2291
2017,Finance,Mack Road PBID,"Charges, Fees, and Services",649621,R,Other Governmental Funds,2292
2017,Finance,Major Street Construction Fund,Taxes,1500000,R,Other Governmental Funds,2293
2017,Finance,Midtown Sacramento PBID,"Charges, Fees, and Services",800777,R,Other Governmental Funds,2294
2017,Finance,N Nat Lndscp 99-02,"Charges, Fees, and Services",351030,R,Other Governmental Funds,2295
2017,Finance,N Natomas Lands CFD 3,"Charges, Fees, and Services",1983216,R,Other Governmental Funds,2296
2017,Finance,N Natomas Transp Mgmt Assoc,"Charges, Fees, and Services",1167823,R,Other Governmental Funds,2297
2017,Finance,Neighborhood Lighting Dist,"Charges, Fees, and Services",42003,R,Other Governmental Funds,2298
2017,Finance,Neighborhood Park Maint CFD,"Charges, Fees, and Services",1177748,R,Other Governmental Funds,2299
2017,Finance,Neighborhood Water Quality Dist,"Charges, Fees, and Services",57047,R,Other Governmental Funds,2300
2017,Finance,Northside Subdiv Maint Dist,"Charges, Fees, and Services",5600,R,Other Governmental Funds,2301
2017,Finance,NW Land Park CFD 2013-02,"Charges, Fees, and Services",31994,R,Other Governmental Funds,2302
2017,Finance,Oak Park PBID,"Charges, Fees, and Services",240344,R,Other Governmental Funds,2303
2017,Finance,Old Sacramento PBID,"Charges, Fees, and Services",165000,R,Other Governmental Funds,2304
2017,Finance,Old Sacto Maint Dist,"Charges, Fees, and Services",70060,R,Other Governmental Funds,2305
2017,Finance,Power Inn Area Prop & Business,"Charges, Fees, and Services",528515,R,Other Governmental Funds,2306
2017,Finance,Power Inn Rd Md 2003-01,"Charges, Fees, and Services",11634,R,Other Governmental Funds,2307
2017,Finance,Railyards Maint CFD No 2014-04,"Charges, Fees, and Services",60000,R,Other Governmental Funds,2308
2017,Finance,Stockton Blvd BIA,"Charges, Fees, and Services",61138,R,Other Governmental Funds,2309
2017,Finance,Stockton Blvd PBID,"Charges, Fees, and Services",322094,R,Other Governmental Funds,2310
2017,Finance,Subdiv Lndscpng Maint Dist,"Charges, Fees, and Services",262698,R,Other Governmental Funds,2311
2017,Finance,Sutter Business Imprvmt Area,"Charges, Fees, and Services",150000,R,Other Governmental Funds,2312
2017,Finance,The River District PBID,"Charges, Fees, and Services",472674,R,Other Governmental Funds,2313
2017,Finance,Township 9 CFD No. 2012-06,"Charges, Fees, and Services",30776,R,Other Governmental Funds,2314
2017,Finance,Transportation Development,Intergovernmental,325000,R,Other Governmental Funds,2315
2017,Community Development,General Fund,City Property,217828,E,General Fund,2317
2017,Community Development,General Fund,Employee Services,24414385,E,General Fund,2318
2017,Community Development,General Fund,Labor and Supply Offset,-1547425,E,General Fund,2319
2017,Community Development,General Fund,Operating Transfers,490000,E,General Fund,2320
2017,Community Development,General Fund,Other Services and Supplies,5411474,E,General Fund,2321
2017,Community Development,Citywide Low Income Housing Fund,Other Services and Supplies,300000,E,Other Governmental Funds,2322
2017,Community Development,Development Services Fund,Operating Transfers,-490000,E,Other Governmental Funds,2323
2017,Community Development,Development Services Fund,Other Services and Supplies,800000,E,Other Governmental Funds,2324
2017,Community Development,Landscaping and Lighting,Labor and Supply Offset,150000,E,Other Governmental Funds,2325
2017,Community Development,Special Program Donations Fund,Other Services and Supplies,200000,E,Other Governmental Funds,2326
2017,Community Development,General Fund,"Charges, Fees, and Services",3804783,R,General Fund,2327
2017,Community Development,General Fund,"Fines, Forfeitures, and  Penalties",2261323,R,General Fund,2328
2017,Community Development,General Fund,Intergovernmental,490000,R,General Fund,2329
2017,Community Development,General Fund,Licenses and Permits,14618967,R,General Fund,2330
2017,Community Development,Citywide Low Income Housing Fund,Licenses and Permits,300000,R,Other Governmental Funds,2331
2017,Community Development,Development Services Fund,"Charges, Fees, and Services",800000,R,Other Governmental Funds,2332
2017,Community Development,Development Services Fund,Intergovernmental,120000,R,Other Governmental Funds,2333
2017,Community Development,Special Program Donations Fund,Miscellaneous Revenue,200000,R,Other Governmental Funds,2334
2017,Convention and Cultural Services,Community Center Fund,City Property,122000,E,Enterprise Funds,2335
2017,Convention and Cultural Services,Community Center Fund,Employee Services,6767792,E,Enterprise Funds,2336
2017,Convention and Cultural Services,Community Center Fund,Labor and Supply Offset,1296691,E,Enterprise Funds,2337
2017,Convention and Cultural Services,Community Center Fund,Operating Transfers,1704800,E,Enterprise Funds,2338
2017,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,3778338,E,Enterprise Funds,2339
2017,Convention and Cultural Services,General Fund,City Property,45000,E,General Fund,2340
2017,Convention and Cultural Services,General Fund,Employee Services,2426593,E,General Fund,2341
2017,Convention and Cultural Services,General Fund,Labor and Supply Offset,-675750,E,General Fund,2342
2017,Convention and Cultural Services,General Fund,Other Services and Supplies,2944097,E,General Fund,2343
2017,Convention and Cultural Services,Fairytale Town Fund,Labor and Supply Offset,25000,E,Other Governmental Funds,2344
2017,Convention and Cultural Services,Fairytale Town Fund,Other Services and Supplies,25000,E,Other Governmental Funds,2346
2017,Convention and Cultural Services,H Street Theater Fund,City Property,20000,E,Other Governmental Funds,2347
2017,Convention and Cultural Services,H Street Theater Fund,Other Services and Supplies,25000,E,Other Governmental Funds,2348
2017,Convention and Cultural Services,Old Sac Market,Other Services and Supplies,67000,E,Other Governmental Funds,2349
2017,Convention and Cultural Services,Old Sacto Maint Dist,Labor and Supply Offset,67931,E,Other Governmental Funds,2350
2017,Convention and Cultural Services,Winchester G & Mary Alice Felt,Other Services and Supplies,100000,E,Other Governmental Funds,2351
2017,Convention and Cultural Services,Zoo,Labor and Supply Offset,50000,E,Other Governmental Funds,2352
2017,Convention and Cultural Services,Community Center Fund,"Charges, Fees, and Services",7128500,R,Enterprise Funds,2353
2017,Convention and Cultural Services,Community Center Fund,"Fines, Forfeitures, and  Penalties",3000,R,Enterprise Funds,2354
