Fiscal_Year,Department,Fund,CATEGORY,Amount,ExpenseRevenue,Fund_Category,ObjectId
2018,City Manager,Innovation and Growth Fund,Other Services and Supplies,215333,E,Other Governmental Funds,2401
2018,City Manager,Interdepartmental Service Fund,Labor and Supply Offset,1592824,E,Other Governmental Funds,2402
2018,City Manager,General Fund,"Charges, Fees, and Services",158208,R,General Fund,2403
2018,City Treasurer,General Fund,City Property,4500,E,General Fund,2404
2018,City Treasurer,General Fund,Employee Services,2168675,E,General Fund,2405
2018,City Treasurer,General Fund,Labor and Supply Offset,-142428,E,General Fund,2409
2018,City Treasurer,General Fund,Other Services and Supplies,305272,E,General Fund,2410
2018,City Treasurer,Interdepartmental Service Fund,Labor and Supply Offset,142778,E,Other Governmental Funds,2411
2018,City Treasurer,General Fund,Contributions from Other Funds,2250958,R,General Fund,2412
2018,City Treasurer,General Fund,Intergovernmental,1245000,R,General Fund,2413
2018,Citywide and Community Support,Community Center Fund,Employee Services,149261,E,Enterprise Funds,2414
2018,Citywide and Community Support,Community Center Fund,Other Services and Supplies,1401190,E,Enterprise Funds,2415
2018,Citywide and Community Support,Parking Fund,Employee Services,167168,E,Enterprise Funds,2416
2018,Citywide and Community Support,Parking Fund,Other Services and Supplies,100000,E,Enterprise Funds,2417
2018,Citywide and Community Support,Recycling and Solid Waste,Employee Services,1618443,E,Enterprise Funds,2418
2018,Citywide and Community Support,Storm Drainage Fund,Employee Services,572103,E,Enterprise Funds,2419
2018,Citywide and Community Support,Wastewater Fund,Employee Services,423920,E,Enterprise Funds,2420
2018,Citywide and Community Support,Water Fund,Employee Services,1303808,E,Enterprise Funds,2421
2018,Citywide and Community Support,General Fund,City Property,1016950,E,General Fund,2422
2018,Citywide and Community Support,General Fund,Contingency,1000000,E,General Fund,2423
2018,Citywide and Community Support,General Fund,Employee Services,18314771,E,General Fund,2424
2018,Citywide and Community Support,General Fund,Labor and Supply Offset,-1720368,E,General Fund,2425
2018,Citywide and Community Support,General Fund,Operating Transfers,0,E,General Fund,2426
2018,Citywide and Community Support,General Fund,Other Services and Supplies,44097950,E,General Fund,2427
2018,Citywide and Community Support,Fleet Management Fund,Employee Services,460847,E,Internal Service Funds,2428
2018,Citywide and Community Support,4th R Program,Employee Services,41731,E,Other Governmental Funds,2429
2018,Citywide and Community Support,Cty/Cnty Office-Water Planning,City Property,4000,E,Other Governmental Funds,2430
2018,Citywide and Community Support,Cty/Cnty Office-Water Planning,Employee Services,532418,E,Other Governmental Funds,2431
2018,Citywide and Community Support,Cty/Cnty Office-Water Planning,Operating Transfers,-277445,E,Other Governmental Funds,2432
2018,Citywide and Community Support,Cty/Cnty Office-Water Planning,Other Services and Supplies,486271,E,Other Governmental Funds,2433
2018,Citywide and Community Support,Del Paso PBID,Other Services and Supplies,33000,E,Other Governmental Funds,2434
2018,Citywide and Community Support,Del Paso Prop & Business Imprv,Other Services and Supplies,474535,E,Other Governmental Funds,2435
2018,Citywide and Community Support,Downtown Management District,Other Services and Supplies,2940474,E,Other Governmental Funds,2436
2018,Citywide and Community Support,Downtown Plaza PBID,Other Services and Supplies,42653,E,Other Governmental Funds,2437
2018,Citywide and Community Support,Franklin Blvd PBID,Other Services and Supplies,38495,E,Other Governmental Funds,2438
2018,Citywide and Community Support,Franklin Boulevard PBID,Other Services and Supplies,139804,E,Other Governmental Funds,2439
2018,Citywide and Community Support,Gas Tax 2106,Operating Transfers,0,E,Other Governmental Funds,2440
2018,Citywide and Community Support,Greater Broadway PBID,Other Services and Supplies,276348,E,Other Governmental Funds,2441
2018,Citywide and Community Support,Habitat Management Element,Operating Transfers,-212585,E,Other Governmental Funds,2442
2018,Citywide and Community Support,Habitat Management Element,Other Services and Supplies,798480,E,Other Governmental Funds,2443
2018,Citywide and Community Support,Innovation and Growth Fund,Other Services and Supplies,1200000,E,Other Governmental Funds,2444
2018,Community Development,General Fund,Intergovernmental,490000,R,General Fund,2445
2018,Citywide and Community Support,Interdepartmental Service Fund,Labor and Supply Offset,1553854,E,Other Governmental Funds,2446
2018,Citywide and Community Support,Library Services Parcel Tax,Other Services and Supplies,7648979,E,Other Governmental Funds,2447
2018,Citywide and Community Support,Mack Road PBID,Other Services and Supplies,645636,E,Other Governmental Funds,2448
2018,Citywide and Community Support,Measure U Fund,City Property,198165,E,Other Governmental Funds,2449
2018,Citywide and Community Support,Measure U Fund,Employee Services,42447152,E,Other Governmental Funds,2450
2018,Citywide and Community Support,Measure U Fund,Operating Transfers,0,E,Other Governmental Funds,2451
2018,Citywide and Community Support,Measure U Fund,Other Services and Supplies,5282517,E,Other Governmental Funds,2452
2018,Citywide and Community Support,Midtown Sacramento PBID,Other Services and Supplies,1524256,E,Other Governmental Funds,2453
2018,Citywide and Community Support,N Natomas Transp Mgmt Assoc,Other Services and Supplies,1250000,E,Other Governmental Funds,2454
2018,Community Development,General Fund,Licenses and Permits,16241173,R,General Fund,2455
2018,Community Development,Citywide Low Income Housing Fund,Licenses and Permits,300000,R,Other Governmental Funds,2457
2018,Community Development,Development Services Fund,"Charges, Fees, and Services",800000,R,Other Governmental Funds,2458
2018,Community Development,Development Services Fund,Intergovernmental,120000,R,Other Governmental Funds,2462
2018,Community Development,Special Program Donations Fund,Miscellaneous Revenue,250000,R,Other Governmental Funds,2465
2018,Convention and Cultural Services,Community Center Fund,City Property,120000,E,Enterprise Funds,2469
2018,Convention and Cultural Services,Community Center Fund,Employee Services,7114782,E,Enterprise Funds,2473
2018,Convention and Cultural Services,Community Center Fund,Labor and Supply Offset,1622712,E,Enterprise Funds,2477
2018,Convention and Cultural Services,Community Center Fund,Operating Transfers,1721900,E,Enterprise Funds,2481
2018,Convention and Cultural Services,Community Center Fund,Other Services and Supplies,4082911,E,Enterprise Funds,2485
2018,City Attorney,Storm Drainage Fund,Labor and Supply Offset,42018,E,Enterprise Funds,2507
2018,City Attorney,Wastewater Fund,Labor and Supply Offset,42018,E,Enterprise Funds,2508
2018,City Attorney,Water Fund,Labor and Supply Offset,126055,E,Enterprise Funds,2509
2018,City Attorney,General Fund,City Property,13750,E,General Fund,2510
2018,City Attorney,General Fund,Employee Services,8489200,E,General Fund,2511
2018,City Attorney,General Fund,Labor and Supply Offset,-3068434,E,General Fund,2512
2018,City Attorney,General Fund,Other Services and Supplies,319874,E,General Fund,2513
2018,City Attorney,Cty/Cnty Office-Water Planning,Labor and Supply Offset,10000,E,Other Governmental Funds,2514
2018,City Attorney,Interdepartmental Service Fund,Labor and Supply Offset,2660004,E,Other Governmental Funds,2515
2018,City Attorney,General Fund,Intergovernmental,52000,R,General Fund,2516
2018,City Clerk,General Fund,City Property,6000,E,General Fund,2517
2018,City Clerk,General Fund,Employee Services,1973775,E,General Fund,2518
2018,City Clerk,General Fund,Labor and Supply Offset,-770738,E,General Fund,2519
2018,City Clerk,General Fund,Other Services and Supplies,559211,E,General Fund,2520
2018,City Clerk,Interdepartmental Service Fund,Labor and Supply Offset,774738,E,Other Governmental Funds,2521
2018,City Clerk,General Fund,"Charges, Fees, and Services",2000,R,General Fund,2522
2018,City Clerk,General Fund,Intergovernmental,50000,R,General Fund,2523
2018,City Manager,General Fund,City Property,16826,E,General Fund,2524
2018,City Manager,General Fund,Employee Services,5480912,E,General Fund,2525
2018,City Manager,General Fund,Labor and Supply Offset,-1692209,E,General Fund,2526
2018,City Manager,General Fund,Other Services and Supplies,1236931,E,General Fund,2527
2018,City Manager,Innovation and Growth Fund,Employee Services,384667,E,Other Governmental Funds,2528
2018,Citywide and Community Support,Oak Park PBID,Other Services and Supplies,317724,E,Other Governmental Funds,2530
2018,Convention and Cultural Services,General Fund,Employee Services,2495457,E,General Fund,2533
2018,Convention and Cultural Services,General Fund,Labor and Supply Offset,-513429,E,General Fund,2535
2018,Convention and Cultural Services,General Fund,Other Services and Supplies,3040906,E,General Fund,2536
